build_id,tag
PPP1.180208,android-9.0.0_r1
PPP2.180412,android-9.0.0_r1
PPP3.180510,android-9.0.0_r1
PPP4.180612,android-9.0.0_r1
PPP5.180610,android-9.0.0_r1
PPR1.180610,android-9.0.0_r1
PKQ1.180904.001,android-9.0.0_r1
PPR2.180905,android-9.0.0_r1
PKQ1.180929.001,android-9.0.0_r1
PKQ1.181021.001,android-9.0.0_r1
PKQ1.181105.001,android-9.0.0_r1
PQ1A.181205,android-9.0.0_r1
PQ1A.190105.058,android-9.0.0_r1
PD2A.190115,android-9.0.0_r1
PQ2A.190205,android-9.0.0_r1
PKQ1.190223.001,android-9.0.0_r1
PKQ1.190421.001,android-9.0.0_r1
PQ3A.190505,android-9.0.0_r1
PKQ1.190522.001,android-9.0.0_r1
PQ3A.190605,android-9.0.0_r1
PQ3B.190605,android-9.0.0_r1
PQ3A.190705,android-9.0.0_r1
PQ3B.190705,android-9.0.0_r1
PQ3A.190801,android-9.0.0_r1
QPP1.190205.018.B3,android-10.0.0_r1
QPP2.190228.021,android-10.0.0_r1
QPP2.190228.023,android-10.0.0_r1
QPP3.190404.015,android-10.0.0_r1
QPP4.190502.018,android-10.0.0_r1
QKQ1.190611.002,android-10.0.0_r1
QPP5.190530.014,android-10.0.0_r1
QPP5.190730.005,android-10.0.0_r1
QKQ1.191117.002,android-10.0.0_r1
QKQ1.200719.002,android-10.0.0_r1
RPP1.200123.016,android-11.0.0_r1
RPP2.200227.014,android-11.0.0_r1
RPP3.200320.017,android-11.0.0_r1
RPP4.200409.015,android-11.0.0_r1
RPB1.200504.018,android-11.0.0_r1
RPB1.200504.020,android-11.0.0_r1
RKQ1.200512.002,android-11.0.0_r1
RPB2.200611.009,android-11.0.0_r1
RPB2.200611.012,android-11.0.0_r1
RPB3.200720.005,android-11.0.0_r1
RP1A.200720.012,android-11.0.0_r1
RKQ1.200826.002,android-11.0.0_r1
SPP1.210122.020.A3,android-12.0.0_r1
SPP1.210122.022,android-12.0.0_r1
SPP2.210219.008,android-12.0.0_r1
SPP3.210325.010,android-12.0.0_r1
SPB1.210331.013,android-12.0.0_r1
SPB2.210513.007,android-12.0.0_r1
SPB2.210513.011,android-12.0.0_r1
SFA1.210601.023,android-12.0.0_r1
SPB3.210618.013,android-12.0.0_r1
SPB3.210618.016,android-12.0.0_r1
SPB4.210715.011,android-12.0.0_r1
SPB4.210715.014,android-12.0.0_r1
SPB5.210812.002,android-12.0.0_r1
SP1A.210812.003,android-12.0.0_r1
SP1A.210812.016,android-12.0.0_r1
TPP1.220114.016,android-13.0.0_r1
TPP2.220218.010,android-13.0.0_r1
TPBB.220310.029,android-13.0.0_r1
TPBB.220414.016,android-13.0.0_r1
TP1A.220430.001,android-13.0.0_r1
UPP1.230113.009,android-14.0.0_r1
UPP2.230217.004,android-14.0.0_r1
UPB1.230309.014,android-14.0.0_r1
UPB2.230407.014,android-14.0.0_r1
UPB2.230407.019,android-14.0.0_r1
UPB3.230519.008,android-14.0.0_r1
UPB3.230519.014,android-14.0.0_r1
UPB4.230623.005,android-14.0.0_r1
UPB4.230623.007,android-14.0.0_r1
UPB5.230623.003.A1,android-14.0.0_r1
UP1A.230623.007,android-14.0.0_r1
UQ1A.231205.015,android-14.0.0_r1
UQ1A.240105.002,android-14.0.0_r1
UQ1A.240205.002,android-14.0.0_r1
UP1A.231105.003.A1,android-14.0.0_r15
UP1A.231105.003,android-14.0.0_r14
UP1A.231105.001,android-14.0.0_r13
UD1A.231105.004,android-14.0.0_r12
UD1A.230803.041,android-14.0.0_r11
UD1A.230803.022.D1,android-14.0.0_r10
UD1A.230803.022.C1,android-14.0.0_r9
UD1A.230803.022.B2,android-14.0.0_r8
UD1A.230803.022.B1,android-14.0.0_r7
UD1A.230803.022.A5,android-14.0.0_r6
UD1A.230803.022.A4,android-14.0.0_r5
UD1A.230803.022.A3,android-14.0.0_r4
UD1A.230803.022,android-14.0.0_r3
UP1A.231005.007.A1,android-14.0.0_r2
UP1A.231005.007,android-14.0.0_r1
10844938,android-security-14.0.0_r2
10640587,android-security-14.0.0_r1
TQ3A.230805.001.S1,android-13.0.0_r83
TQ3C.230901.001.B1,android-13.0.0_r82
TQ3C.230901.001.A2,android-13.0.0_r81
TQ3C.230901.001.A1,android-13.0.0_r80
TQ3A.230901.001.C3,android-13.0.0_r79
TQ3A.230901.001.C2,android-13.0.0_r78
TQ3A.230901.001.C1,android-13.0.0_r77
TQ3A.230901.001.B1,android-13.0.0_r76
TQ3A.230901.001,android-13.0.0_r75
TQ3C.230805.001.B2,android-13.0.0_r74
TQ3C.230805.001.A4,android-13.0.0_r73
TQ3C.230805.001.A3,android-13.0.0_r72
TQ3A.230805.001.B1,android-13.0.0_r71
TQ3A.230805.001.A3,android-13.0.0_r70
TQ3A.230805.001.A2,android-13.0.0_r69
TQ3A.230805.001.A1,android-13.0.0_r68
TQ3A.230805.001,android-13.0.0_r67
TQ3C.230705.001.C2,android-13.0.0_r66
TQ3C.230705.001.C1,android-13.0.0_r65
TQ3C.230705.001.B1,android-13.0.0_r64
TQ3A.230705.001.B4,android-13.0.0_r63
TQ3A.230705.001.A1,android-13.0.0_r62
TQ3A.230705.001,android-13.0.0_r61
TQ3C.230605.010.D1,android-13.0.0_r60
TQ3C.230605.010.C2,android-13.0.0_r59
TQ3C.230605.010.C1,android-13.0.0_r58
TD3A.230203.070.A1,android-13.0.0_r57
TQ3A.230605.009.A1,android-13.0.0_r56
TD2A.230203.028,android-13.0.0_r55
TQ3A.230605.012.A1,android-13.0.0_r54
TQ3A.230605.010.A1,android-13.0.0_r53
TQ3A.230605.012,android-13.0.0_r52
TQ3A.230605.011,android-13.0.0_r51
TQ3A.230605.010,android-13.0.0_r50
TQ2B.230505.005.A1,android-13.0.0_r49
TD4A.221205.042.B1,android-13.0.0_r48
TD4A.221205.042.A1,android-13.0.0_r47
TD4A.221205.042,android-13.0.0_r46
TQ2A.230505.002.G1,android-13.0.0_r45
TQ2A.230505.002.A1,android-13.0.0_r44
TQ2A.230505.002,android-13.0.0_r43
TQ2A.230405.003.G1,android-13.0.0_r42
TQ2A.230405.003.E1,android-13.0.0_r41
TQ2A.230405.003.B2,android-13.0.0_r40
TQ2A.230405.003.A2,android-13.0.0_r39
TQ2A.230405.003,android-13.0.0_r38
TQ2A.230305.008.F1,android-13.0.0_r37
TQ2A.230305.008.E1,android-13.0.0_r36
TQ2A.230305.008.C1,android-13.0.0_r35
TQ2A.230305.008.A3,android-13.0.0_r34
TQ2A.230305.008.A1,android-13.0.0_r33
TQ2A.230305.008,android-13.0.0_r32
TP1A.221005.002.B2,android-13.0.0_r31
TQ1A.230205.002,android-13.0.0_r30
TQ1A.230205.001.D2,android-13.0.0_r29
TQ1A.230205.001.B2,android-13.0.0_r28
TQ1A.230205.001.A2,android-13.0.0_r27
TQ1A.230105.002.A1,android-13.0.0_r24
TQ1A.230105.002,android-13.0.0_r23
TQ1A.230105.001.B1,android-13.0.0_r22
TQ1A.230105.001.A3,android-13.0.0_r21
TQ1A.230105.001.A2,android-13.0.0_r20
TQ1A.230105.001,android-13.0.0_r19
TQ1A.221205.012,android-13.0.0_r18
TQ1A.221205.011.B1,android-13.0.0_r17
TQ1A.221205.011,android-13.0.0_r16
TD1A.221105.001.A1,android-13.0.0_r15
TD1A.221105.003,android-13.0.0_r14
TD1A.221105.001,android-13.0.0_r13
TP1A.221105.002,android-13.0.0_r12
TD1A.220804.031,android-13.0.0_r11
TD1A.220804.009.A5,android-13.0.0_r10
TD1A.220804.009.A2,android-13.0.0_r9
TP1A.221005.003,android-13.0.0_r8
TP1A.221005.002,android-13.0.0_r7
TP1A.220905.004.A2,android-13.0.0_r6
TP1A.220905.004.A1,android-13.0.0_r5
TP1A.220905.004,android-13.0.0_r4
TP1A.220624.021.A1,android-13.0.0_r3
TP1A.220624.021,android-13.0.0_r2
TP1A.220624.014,android-13.0.0_r1
10843705,android-security-13.0.0_r11
10763433,android-security-13.0.0_r10
10609151,android-security-13.0.0_r9
10286630,android-security-13.0.0_r8
10187392,android-security-13.0.0_r7
10026668,android-security-13.0.0_r6
9873343,android-security-13.0.0_r5
9682190,android-security-13.0.0_r4
9575282,android-security-13.0.0_r3
9402439,android-security-13.0.0_r2
TP1A.220624.014,android-security-13.0.0_r1
SP2A.220505.008,android-12.1.0_r27
SD2A.220601.004.B2,android-12.1.0_r26
SD2A.220601.003.B1,android-12.1.0_r25
SD2A.220601.002.B1,android-12.1.0_r24
SD2A.220601.001.B1,android-12.1.0_r23
SQ3A.220705.004,android-12.1.0_r22
SQ3A.220705.001.B2,android-12.1.0_r21
SQ3A.220705.004.A1,android-12.1.0_r20
SQ3A.220705.003.A3,android-12.1.0_r19
SD2A.220601.003,android-12.1.0_r18
SD2A.220601.002,android-12.1.0_r17
SD2A.220123.051.A3,android-12.1.0_r16
SD2A.220123.051.A2,android-12.1.0_r15
SD2A.220123.050.A1,android-12.1.0_r14
SD2A.220601.004,android-12.1.0_r13
SD2A.220601.001.A1,android-12.1.0_r12
SQ3A.220705.003.A1,android-12.1.0_r11
SQ3A.220705.003,android-12.1.0_r10
SQ3A.220705.001.B1,android-12.1.0_r9
SQ3A.220605.009.B1,android-12.1.0_r8
SQ3A.220605.009.A1,android-12.1.0_r7
SP2A.220505.006,android-12.1.0_r6
SP2A.220505.002,android-12.1.0_r5
SP2A.220405.004,android-12.1.0_r4
SP2A.220405.003,android-12.1.0_r3
SP2A.220305.013.A3,android-12.1.0_r2
SP2A.220305.012,android-12.1.0_r1
10843702,android-security-12.0.0_r53
10763434,android-security-12.0.0_r52
10609149,android-security-12.0.0_r51
10286622,android-security-12.0.0_r50
10187388,android-security-12.0.0_r49
10026669,android-security-12.0.0_r48
9873344,android-security-12.0.0_r47
9587746,android-security-12.0.0_r46
9575279,android-security-12.0.0_r45
9395439,android-security-12.0.0_r44
9364904,android-security-12.0.0_r43
9269288,android-security-12.0.0_r42
9095088,android-security-12.0.0_r41
9039305,android-security-12.0.0_r40
8894229,android-security-12.0.0_r39
8712618,android-security-12.0.0_r38
8693658,android-security-12.0.0_r37
8528210,android-security-12.0.0_r36
8283927,android-security-12.0.0_r35
8257479,android-security-12.0.0_r34
SP1A.210812.016.C2,android-12.0.0_r34
SP1A.210812.016.B2,android-12.0.0_r33
SQ1D.220205.004,android-12.0.0_r32
SP1A.210812.016.C1,android-12.0.0_r31
SP1A.210812.016.B1,android-12.0.0_r30
SQ1D.220205.003,android-12.0.0_r29
SQ1A.220205.002,android-12.0.0_r28
SQ1D.220105.007,android-12.0.0_r27
SQ1A.220105.002,android-12.0.0_r26
SP1A.210812.016.A2,android-12.0.0_r25
SQ1D.211205.016.A5,android-12.0.0_r21
SQ1D.211205.016.A4,android-12.0.0_r20
SQ1D.211205.017,android-12.0.0_r19
SQ1D.211205.016.A1,android-12.0.0_r18
SQ1A.211205.008,android-12.0.0_r16
SD1A.210817.037.A1,android-12.0.0_r15
SD1A.210817.037,android-12.0.0_r14
SD1A.210817.036.A8,android-12.0.0_r13
SD1A.210817.036,android-12.0.0_r12
SP1A.211105.004,android-12.0.0_r11
SP1A.211105.003,android-12.0.0_r10
SP1A.211105.002.A1,android-12.0.0_r9
SP1A.211105.002,android-12.0.0_r8
SD1A.210817.019.C4,android-12.0.0_r7
SD1A.210817.019.C2,android-12.0.0_r6
SD1A.210817.019.B1,android-12.0.0_r5
SD1A.210817.015.A4,android-12.0.0_r4
SP1A.210812.016.A1,android-12.0.0_r3
SP1A.210812.015,android-12.0.0_r1
10843701,android-security-11.0.0_r73
10763435,android-security-11.0.0_r72
10609148,android-security-11.0.0_r71
10286620,android-security-11.0.0_r70
10115417,android-security-11.0.0_r69
9892680,android-security-11.0.0_r68
9873342,android-security-11.0.0_r67
9682389,android-security-11.0.0_r66
9575278,android-security-11.0.0_r65
9383110,android-security-11.0.0_r64
9371401,android-security-11.0.0_r63
9269287,android-security-11.0.0_r62
9081070,android-security-11.0.0_r61
9033583,android-security-11.0.0_r60
8894231,android-security-11.0.0_r59
8712617,android-security-11.0.0_r58
8600450,android-security-11.0.0_r57
8528208,android-security-11.0.0_r56
8287685,android-security-11.0.0_r55
8257481,android-security-11.0.0_r54
8157300,android-security-11.0.0_r53
8042688,android-security-11.0.0_r52
8001874,android-security-11.0.0_r51
7804787,android-security-11.0.0_r50
7786871,android-security-11.0.0_r49
RD2A.211001.002,android-11.0.0_r48
RD2A.211001.001,android-11.0.0_r47
RQ3A.211001.001,android-11.0.0_r46
RD2A.210905.003,android-11.0.0_r45
RD2A.210905.002,android-11.0.0_r44
RQ3A.210905.001,android-11.0.0_r43
RD2A.210605.007,android-11.0.0_r42
RD2A.210605.006,android-11.0.0_r41
RQ3A.210805.001.A1,android-11.0.0_r40
RQ3A.210705.001,android-11.0.0_r39
RQ3A.210605.005,android-11.0.0_r38
RQ2A.210505.003,android-11.0.0_r37
RQ2A.210505.002,android-11.0.0_r36
RQ2A.210405.006,android-11.0.0_r35
RQ2A.210405.005,android-11.0.0_r34
RQ2A.210305.007,android-11.0.0_r33
RQ2A.210305.006,android-11.0.0_r32
RQ1D.210205.004,android-11.0.0_r31
RQ1C.210205.006,android-11.0.0_r30
RQ1A.210205.004,android-11.0.0_r29
RQ1D.210105.003,android-11.0.0_r28
RQ1A.210105.003,android-11.0.0_r27
RQ1A.210105.002,android-11.0.0_r26
RP1A.201005.004.A1,android-11.0.0_r25
RQ1D.201205.012.A1,android-11.0.0_r24
RQ1A.201205.003.A1,android-11.0.0_r23
RQ1A.201205.011,android-11.0.0_r22
RQ1A.201205.008.A1,android-11.0.0_r21
RQ1A.201205.010,android-11.0.0_r20
RQ1A.201205.008,android-11.0.0_r19
RQ1A.201205.003,android-11.0.0_r18
RP1A.201105.002,android-11.0.0_r17
RD1B.201105.010,android-11.0.0_r16
RD1A.201105.003.C1,android-11.0.0_r15
RD1A.201105.003.B1,android-11.0.0_r14
RD1A.201105.003.A1,android-11.0.0_r13
RD1A.201105.003,android-11.0.0_r12
RD1A.200810.022.A4,android-11.0.0_r11
RD1A.200810.021.B3,android-11.0.0_r10
RD1A.200810.020.A1,android-11.0.0_r9
RD1A.200810.021.A1,android-11.0.0_r8
RD1A.200810.020,android-11.0.0_r7
RP1A.201005.006,android-11.0.0_r5
RP1A.201005.004,android-11.0.0_r4
RP1A.200720.011,android-11.0.0_r3
RP1A.200720.010,android-11.0.0_r2
RP1A.200720.009,android-11.0.0_r1
9383109,android-security-10.0.0_r75
9371400,android-security-10.0.0_r74
9269285,android-security-10.0.0_r73
9081069,android-security-10.0.0_r72
8979058,android-security-10.0.0_r71
8894228,android-security-10.0.0_r70
8712615,android-security-10.0.0_r69
8600452,android-security-10.0.0_r68
8528209,android-security-10.0.0_r67
8287684,android-security-10.0.0_r66
8257478,android-security-10.0.0_r65
8157299,android-security-10.0.0_r64
8042689,android-security-10.0.0_r63
7964643,android-security-10.0.0_r62
7804786,android-security-10.0.0_r61
7786870,android-security-10.0.0_r60
7678332,android-security-10.0.0_r59
7507835,android-security-10.0.0_r58
7483358,android-security-10.0.0_r57
7427955,android-security-10.0.0_r56
7269719,android-security-10.0.0_r55
7250004,android-security-10.0.0_r54
7127522,android-security-10.0.0_r53
7070703,android-security-10.0.0_r52
7023426,android-security-10.0.0_r51
6969601,android-security-10.0.0_r50
6893682,android-security-10.0.0_r49
6878114,android-security-10.0.0_r48
6780337,android-10.0.0_r47
6777444,android-10.0.0_r46
QD4A.200805.003,android-10.0.0_r45
QD4A.200805.001,android-10.0.0_r44
QD4A.200317.027,android-10.0.0_r43
QD4A.200317.024.A1,android-10.0.0_r42
QQ3A.200805.001,android-10.0.0_r41
QQ3A.200705.002,android-10.0.0_r40
QQ3A.200605.002.A1,android-10.0.0_r39
QQ3A.200605.002,android-10.0.0_r38
QQ3A.200605.001,android-10.0.0_r37
QQ2A.200501.001.B3,android-10.0.0_r36
QQ2A.200501.001.B2,android-10.0.0_r35
QQ2A.200501.001.A3,android-10.0.0_r34
QQ2A.200405.005,android-10.0.0_r33
QQ2A.200305.004.A1,android-10.0.0_r32
QQ2A.200305.003,android-10.0.0_r31
QQ2A.200305.002,android-10.0.0_r30
QQ1D.200205.002,android-10.0.0_r29
QQ1C.200205.002,android-10.0.0_r28
QQ1B.200205.002,android-10.0.0_r27
QQ1A.200205.002,android-10.0.0_r26
QQ1D.200105.002,android-10.0.0_r25
QQ1C.200105.004,android-10.0.0_r24
QQ1B.200105.004,android-10.0.0_r23
QQ1A.200105.003,android-10.0.0_r22
QQ1A.200105.002,android-10.0.0_r21
QQ1C.191205.016.A1,android-10.0.0_r20
QQ1B.191205.012.A1,android-10.0.0_r19
QQ1B.191205.011,android-10.0.0_r18
QP1A.191005.007.A3,android-10.0.0_r17
QQ1A.191205.011,android-10.0.0_r16
QQ1A.191205.008,android-10.0.0_r15
QD1A.190821.014.C2,android-10.0.0_r14
QD1A.190821.014,android-10.0.0_r13
QD1A.190821.007.A3,android-10.0.0_r12
QP1A.191105.004,android-10.0.0_r11
