build_id,tag
QP1A.191105.003,android-10.0.0_r10
QD1A.190821.011.C4,android-10.0.0_r9
QD1A.190821.011,android-10.0.0_r8
QD1A.190821.007,android-10.0.0_r7
5933585,android-10.0.0_r6
QP1A.191005.007.A1,android-10.0.0_r5
QP1A.191005.007,android-10.0.0_r4
QP1A.190711.020.C3,android-10.0.0_r3
QP1A.190711.020,android-10.0.0_r2
QP1A.190711.019,android-10.0.0_r1
7925397,android-security-9.0.0_r76
7804785,android-security-9.0.0_r75
7786868,android-security-9.0.0_r74
7678331,android-security-9.0.0_r73
7507834,android-security-9.0.0_r72
7449186,android-security-9.0.0_r71
7427956,android-security-9.0.0_r70
7269718,android-security-9.0.0_r69
7249336,android-security-9.0.0_r68
7127521,android-security-9.0.0_r67
7070702,android-security-9.0.0_r66
7023409,android-security-9.0.0_r65
6969600,android-security-9.0.0_r64
6893678,android-security-9.0.0_r63
6826377,android-security-9.0.0_r62
6780336,android-9.0.0_r61
6644287,android-9.0.0_r60
6559974,android-9.0.0_r59
6495666,android-9.0.0_r58
6454888,android-9.0.0_r57
6440158,android-9.0.0_r56
6197209,android-9.0.0_r55
6127072,android-9.0.0_r54
6107734,android-9.0.0_r53
6037698,android-9.0.0_r52
5948683,android-9.0.0_r51
5887210,android-9.0.0_r50
5794013,android-9.0.0_r49
5748468,android-9.0.0_r48
PQ3B.190801.002,android-9.0.0_r47
PQ3A.190801.002,android-9.0.0_r46
PQ3B.190705.003,android-9.0.0_r45
PQ3A.190705.003,android-9.0.0_r44
PQ3A.190705.001,android-9.0.0_r43
PQ3B.190605.006,android-9.0.0_r42
PQ3A.190605.004.A1,android-9.0.0_r41
PQ3A.190605.003,android-9.0.0_r40
PD2A.190115.032,android-9.0.0_r39
PD2A.190115.029,android-9.0.0_r38
PQ3A.190505.002,android-9.0.0_r37
PQ3A.190505.001,android-9.0.0_r36
PQ2A.190405.003,android-9.0.0_r35
PQ2A.190305.002,android-9.0.0_r34
PQ2A.190205.003,android-9.0.0_r33
PQ2A.190205.002,android-9.0.0_r32
PQ2A.190205.001,android-9.0.0_r31
PQ1A.190105.004,android-9.0.0_r30
PQ1A.181205.006.A1,android-9.0.0_r22
PQ1A.181205.006,android-9.0.0_r21
PQ1A.181205.002.A1,android-9.0.0_r20
PQ1A.181205.002,android-9.0.0_r19
PPR2.181005.003.A1,android-9.0.0_r18
PPR1.181005.003.A1,android-9.0.0_r17
PQ1A.181105.017.A1,android-9.0.0_r16
PD1A.180720.031,android-9.0.0_r12
PD1A.180720.030,android-9.0.0_r11
PPR2.181005.003,android-9.0.0_r10
PPR1.181005.003,android-9.0.0_r9
PPR2.180905.006.A1,android-9.0.0_r8
PPR2.180905.006,android-9.0.0_r7
PPR2.180905.005,android-9.0.0_r6
PPR1.180905.003,android-9.0.0_r5
PPR1.180610.011,android-9.0.0_r3
PPR1.180610.010,android-9.0.0_r2
PPR1.180610.009,android-9.0.0_r1
7678330,android-security-8.1.0_r93
7507833,android-security-8.1.0_r92
7449185,android-security-8.1.0_r91
7427957,android-security-8.1.0_r90
7269716,android-security-8.1.0_r89
7249334,android-security-8.1.0_r88
7127520,android-security-8.1.0_r87
7070700,android-security-8.1.0_r86
7023408,android-security-8.1.0_r85
6969599,android-security-8.1.0_r84
6893677,android-security-8.1.0_r83
6826376,android-security-8.1.0_r82
6780335,android-8.1.0_r81
6644286,android-8.1.0_r80
6560352,android-8.1.0_r79
6495665,android-8.1.0_r78
6454887,android-8.1.0_r77
6440157,android-8.1.0_r76
6197208,android-8.1.0_r75
6127071,android-8.1.0_r74
6107733,android-8.1.0_r73
6037697,android-8.1.0_r72
5948682,android-8.1.0_r71
5887208,android-8.1.0_r70
5794017,android-8.1.0_r69
5725752,android-8.1.0_r68
OPM8.190605.005,android-8.1.0_r67
5650812,android-8.1.0_r66
OPM8.190605.003,android-8.1.0_r65
OPM8.190505.001,android-8.1.0_r64
OPM8.190405.001,android-8.1.0_r63
OPM8.190305.001,android-8.1.0_r62
OPM8.190205.001,android-8.1.0_r61
OPM8.190105.002,android-8.1.0_r60
OPM8.181205.001,android-8.1.0_r53
OPM7.181205.001,android-8.1.0_r52
OPM8.181105.002,android-8.1.0_r51
OPM7.181105.004,android-8.1.0_r50
OPM8.181005.003,android-8.1.0_r48
OPM7.181005.003,android-8.1.0_r47
OPM6.171019.030.K1,android-8.1.0_r46
OPM4.171019.021.Z1,android-8.1.0_r45
OPM6.171019.030.H1,android-8.1.0_r43
OPM4.171019.021.Y1,android-8.1.0_r42
OPM6.171019.030.E1,android-8.1.0_r41
OPM4.171019.021.R1,android-8.1.0_r40
OPM4.171019.021.Q1,android-8.1.0_r39
OPM4.171019.021.P1,android-8.1.0_r38
OPM4.171019.021.N1,android-8.1.0_r37
OPM2.171026.006.H1,android-8.1.0_r36
OPM2.171026.006.G1,android-8.1.0_r35
OPM6.171019.030.B1,android-8.1.0_r33
OPM4.171019.021.E1,android-8.1.0_r32
OPM4.171019.021.D1,android-8.1.0_r31
OPM2.171026.006.C1,android-8.1.0_r30
OPM4.171019.016.C1,android-8.1.0_r29
OPM4.171019.016.B1,android-8.1.0_r28
OPM4.171019.016.A1,android-8.1.0_r27
OPM2.171019.029.B1,android-8.1.0_r26
OPM2.171019.029.A1,android-8.1.0_r25
OPM4.171019.015.A1,android-8.1.0_r23
OPM5.171019.019,android-8.1.0_r22
OPM3.171019.019,android-8.1.0_r21
OPM2.171019.029,android-8.1.0_r20
OPM1.171019.026,android-8.1.0_r19
OPM5.171019.017,android-8.1.0_r18
OPM3.171019.016,android-8.1.0_r17
OPM1.171019.022.A1,android-8.1.0_r16
OPM1.171019.021,android-8.1.0_r15
OPM5.171019.015,android-8.1.0_r14
OPM3.171019.014,android-8.1.0_r13
OPM1.171019.019,android-8.1.0_r12
OPM1.171019.018,android-8.1.0_r11
OPM1.171019.016,android-8.1.0_r10
OPM5.171019.014,android-8.1.0_r9
OPM2.171019.016,android-8.1.0_r8
OPM3.171019.013,android-8.1.0_r7
OPM1.171019.015,android-8.1.0_r6
OPM1.171019.014,android-8.1.0_r5
OPM1.171019.013,android-8.1.0_r4
OPM1.171019.012,android-8.1.0_r3
OPM2.171019.012,android-8.1.0_r2
OPM1.171019.011,android-8.1.0_r1
6969596,android-security-8.0.0_r54
6893676,android-security-8.0.0_r53
6826375,android-security-8.0.0_r52
6780349,android-8.0.0_r51
6644283,android-8.0.0_r50
6560351,android-8.0.0_r49
6495664,android-8.0.0_r48
6454886,android-8.0.0_r47
6349210,android-8.0.0_r46
6197207,android-8.0.0_r45
6127070,android-8.0.0_r44
6107732,android-8.0.0_r43
6037696,android-8.0.0_r42
5948681,android-8.0.0_r41
5887206,android-8.0.0_r40
5796467,android-8.0.0_r39
5729099,android-8.0.0_r38
5650811,android-8.0.0_r37
OPR5.170623.014,android-8.0.0_r36
OPR4.170623.020,android-8.0.0_r35
OPD3.170816.023,android-8.0.0_r34
OPD1.170816.025,android-8.0.0_r33
OPR6.170623.023,android-8.0.0_r32
OPR5.170623.011,android-8.0.0_r31
OPR3.170623.013,android-8.0.0_r30
OPR2.170623.027,android-8.0.0_r29
OPR1.170623.032,android-8.0.0_r28
OPD3.170816.016,android-8.0.0_r27
OPD2.170816.015,android-8.0.0_r26
OPD1.170816.018,android-8.0.0_r25
OPD3.170816.012,android-8.0.0_r24
OPD1.170816.012,android-8.0.0_r23
OPD1.170816.011,android-8.0.0_r22
OPD1.170816.010,android-8.0.0_r21
OPR5.170623.007,android-8.0.0_r17
OPR4.170623.009,android-8.0.0_r16
OPR3.170623.008,android-8.0.0_r15
OPR1.170623.027,android-8.0.0_r13
OPR6.170623.021,android-8.0.0_r12
OPR6.170623.019,android-8.0.0_r11
OPR4.170623.006,android-8.0.0_r10
OPR3.170623.007,android-8.0.0_r9
OPR1.170623.026,android-8.0.0_r7
OPR6.170623.013,android-8.0.0_r4
OPR6.170623.012,android-8.0.0_r3
OPR6.170623.011,android-8.0.0_r2
OPR6.170623.010,android-8.0.0_r1
5787804,android-7.1.2_r39
5725750,android-7.1.2_r38
5650810,android-7.1.2_r37
N2G48H,android-7.1.2_r36
NZH54D,android-7.1.2_r33
NKG47S,android-7.1.2_r32
NHG47Q,android-7.1.2_r30
NJH47F,android-7.1.2_r29
N2G48C,android-7.1.2_r28
NZH54B,android-7.1.2_r27
NKG47M,android-7.1.2_r25
NJH47D,android-7.1.2_r24
NHG47O,android-7.1.2_r23
N2G48B,android-7.1.2_r19
N2G47Z,android-7.1.2_r18
NJH47B,android-7.1.2_r17
NJH34C,android-7.1.2_r16
NKG47L,android-7.1.2_r15
NHG47N,android-7.1.2_r14
N2G47X,android-7.1.2_r13
N2G47W,android-7.1.2_r12
NHG47L,android-7.1.2_r11
N2G47T,android-7.1.2_r10
N2G47R,android-7.1.2_r9
N2G47O,android-7.1.2_r8
NHG47K,android-7.1.2_r6
N2G47J,android-7.1.2_r5
N2G47H,android-7.1.2_r4
N2G47F,android-7.1.2_r3
N2G47E,android-7.1.2_r2
N2G47D,android-7.1.2_r1
5787798,android-7.1.1_r61
5725749,android-7.1.1_r60
5650809,android-7.1.1_r59
N9F27M,android-7.1.1_r58
NGI77B,android-7.1.1_r57
N8I11F,android-7.1.1_r56
N6F27M,android-7.1.1_r55
N4F27P,android-7.1.1_r54
N9F27L,android-7.1.1_r53
NGI55D,android-7.1.1_r52
N4F27O,android-7.1.1_r51
N8I11B,android-7.1.1_r50
N9F27H,android-7.1.1_r49
N6F27I,android-7.1.1_r48
N4F27K,android-7.1.1_r47
N9F27F,android-7.1.1_r46
N6F27H,android-7.1.1_r45
N4F27I,android-7.1.1_r44
N9F27C,android-7.1.1_r43
N6F27E,android-7.1.1_r42
N4F27E,android-7.1.1_r41
N6F27C,android-7.1.1_r40
N4F27B,android-7.1.1_r39
N6F26Y,android-7.1.1_r38
NOF27D,android-7.1.1_r35
N4F26X,android-7.1.1_r33
N4F26U,android-7.1.1_r31
N6F26U,android-7.1.1_r28
NUF26N,android-7.1.1_r27
NOF27C,android-7.1.1_r26
NOF27B,android-7.1.1_r25
N4F26T,android-7.1.1_r24
NMF27D,android-7.1.1_r23
NMF26X,android-7.1.1_r22
NOF26W,android-7.1.1_r21
NOF26V,android-7.1.1_r20
N6F26R,android-7.1.1_r17
NUF26K,android-7.1.1_r16
N4F26Q,android-7.1.1_r15
N4F26O,android-7.1.1_r14
N6F26Q,android-7.1.1_r13
N4F26M,android-7.1.1_r12
N4F26J,android-7.1.1_r11
N4F26I,android-7.1.1_r10
NMF26V,android-7.1.1_r9
NMF26U,android-7.1.1_r8
NMF26R,android-7.1.1_r7
NMF26Q,android-7.1.1_r6
NMF26O,android-7.1.1_r4
NMF26J,android-7.1.1_r3
NMF26H,android-7.1.1_r2
NMF26F,android-7.1.1_r1
NDE63X,android-7.1.0_r7
NDE63V,android-7.1.0_r6
NDE63U,android-7.1.0_r5
NDE63P,android-7.1.0_r4
NDE63L,android-7.1.0_r2
NDE63H,android-7.1.0_r1
NBD92Y,android-7.0.0_r36
NBD92Q,android-7.0.0_r35
NBD92N,android-7.0.0_r34
NBD92G,android-7.0.0_r33
NBD92F,android-7.0.0_r32
NBD92E,android-7.0.0_r31
NBD92D,android-7.0.0_r30
NBD91Z,android-7.0.0_r29
NBD91Y,android-7.0.0_r28
NBD91X,android-7.0.0_r27
NBD91U,android-7.0.0_r24
N5D91L,android-7.0.0_r21
NBD91P,android-7.0.0_r19
NRD91K,android-7.0.0_r17
NRD91N,android-7.0.0_r15
NBD90Z,android-7.0.0_r14
NBD90X,android-7.0.0_r13
NBD90W,android-7.0.0_r12
NRD91D,android-7.0.0_r7
NRD90U,android-7.0.0_r6
NRD90T,android-7.0.0_r5
NRD90S,android-7.0.0_r4
NRD90R,android-7.0.0_r3
NRD90M,android-7.0.0_r1
MOI10E,android-6.0.1_r81
MOB31Z,android-6.0.1_r80
MOB31T,android-6.0.1_r79
MOB31S,android-6.0.1_r78
M4B30Z,android-6.0.1_r77
MOB31K,android-6.0.1_r74
MMB31C,android-6.0.1_r73
M4B30X,android-6.0.1_r72
MOB31H,android-6.0.1_r70
MMB30Y,android-6.0.1_r69
MTC20K,android-6.0.1_r67
MOB31E,android-6.0.1_r66
MMB30W,android-6.0.1_r65
MXC89L,android-6.0.1_r63
MTC20F,android-6.0.1_r62
MOB30Y,android-6.0.1_r60
MOB30X,android-6.0.1_r59
MOB30W,android-6.0.1_r58
MMB30S,android-6.0.1_r57
MMB30R,android-6.0.1_r56
MXC89K,android-6.0.1_r55
MTC19Z,android-6.0.1_r54
MTC19X,android-6.0.1_r53
MOB30P,android-6.0.1_r50
MOB30O,android-6.0.1_r49
MMB30M,android-6.0.1_r48
MMB30K,android-6.0.1_r47
MOB30M,android-6.0.1_r46
MTC19V,android-6.0.1_r45
MOB30J,android-6.0.1_r43
MOB30I,android-6.0.1_r42
MOB30H,android-6.0.1_r41
MOB30G,android-6.0.1_r40
MXC89H,android-6.0.1_r33
MXC89F,android-6.0.1_r32
MMB30J,android-6.0.1_r28
MTC19T,android-6.0.1_r25
M5C14J,android-6.0.1_r31
MOB30D,android-6.0.1_r30
MHC19Q,android-6.0.1_r24
MHC19J,android-6.0.1_r22
MHC19I,android-6.0.1_r21
MMB29X,android-6.0.1_r20
MXC14G,android-6.0.1_r18
MMB29V,android-6.0.1_r17
MXB48T,android-6.0.1_r16
MMB29U,android-6.0.1_r13
MMB29R,android-6.0.1_r12
MMB29Q,android-6.0.1_r11
MMB29T,android-6.0.1_r10
MMB29S,android-6.0.1_r9
MMB29P,android-6.0.1_r8
MMB29O,android-6.0.1_r7
MXB48K,android-6.0.1_r5
MXB48J,android-6.0.1_r4
MMB29M,android-6.0.1_r3
MMB29K,android-6.0.1_r1
MMB29N,android-6.0.0_r41
MDB08M,android-6.0.0_r26
MDB08L,android-6.0.0_r25
MDB08K,android-6.0.0_r24
MDB08I,android-6.0.0_r23
MDA89E,android-6.0.0_r12
MDA89D,android-6.0.0_r11
MRA59B,android-6.0.0_r7
MRA58X,android-6.0.0_r6
MRA58V,android-6.0.0_r5
MRA58U,android-6.0.0_r4
MRA58N,android-6.0.0_r2
MRA58K,android-6.0.0_r1
LMY49M,android-5.1.1_r38
LMY49J,android-5.1.1_r37
LMY49I,android-5.1.1_r36
LMY49H,android-5.1.1_r35
LMY49G,android-5.1.1_r34
LMY49F,android-5.1.1_r33
LMY48Z,android-5.1.1_r30
LYZ28N,android-5.1.1_r28
LMY48Y,android-5.1.1_r26
LMY48X,android-5.1.1_r25
LMY48W,android-5.1.1_r24
LVY48H,android-5.1.1_r23
LYZ28M,android-5.1.1_r22
LMY48U,android-5.1.1_r20
LMY48T,android-5.1.1_r19
LVY48F,android-5.1.1_r18
LYZ28K,android-5.1.1_r17
LMY48P,android-5.1.1_r16
LMY48N,android-5.1.1_r15
LMY48M,android-5.1.1_r14
LVY48E,android-5.1.1_r13
LYZ28J,android-5.1.1_r12
LMY48J,android-5.1.1_r10
LMY48I,android-5.1.1_r9
LVY48C,android-5.1.1_r8
LMY48G,android-5.1.1_r6
LYZ28E,android-5.1.1_r5
LMY47Z,android-5.1.1_r4
LMY48B,android-5.1.1_r3
LMY47X,android-5.1.1_r2
LMY47V,android-5.1.1_r1
LMY47O,android-5.1.0_r5
LMY47M,android-5.1.0_r4
LMY47I,android-5.1.0_r3
LMY47E,android-5.1.0_r2
LMY47D,android-5.1.0_r1
LRX22L,android-5.0.2_r3
LRX22G,android-5.0.2_r1
LRX22C,android-5.0.1_r1
LRX21V,android-5.0.0_r7.0.1
LRX21T,android-5.0.0_r6.0.1
LRX21R,android-5.0.0_r5.1.0.1
LRX21Q,android-5.0.0_r5.0.1
LRX21P,android-5.0.0_r4.0.1
LRX21O,android-5.0.0_r3.0.1
LRX21M,android-5.0.0_r2.0.1
LRX21L,android-5.0.0_r1.0.1
KTU84Q,android-4.4.4_r2
KTU84P,android-4.4.4_r1
KTU84M,android-4.4.3_r1.1
KTU84L,android-4.4.3_r1
KVT49L,android-4.4.2_r2
KOT49H,android-4.4.2_r1
KOT49E,android-4.4.1_r1
KRT16S,android-4.4_r1.2
KRT16M,android-4.4_r1
JLS36I,android-4.3.1_r1
JLS36C,android-4.3_r3
JSS15R,android-4.3_r2.3
JSS15Q,android-4.3_r2.2
JSS15J,android-4.3_r2.1
JSR78D,android-4.3_r2
JWR66Y,android-4.3_r1.1
JWR66V,android-4.3_r1
JWR66N,android-4.3_r0.9.1
JWR66L,android-4.3_r0.9
JDQ39E,android-4.2.2_r1.2
JDQ39B,android-4.2.2_r1.1
JDQ39,android-4.2.2_r1
JOP40G,android-4.2.1_r1.2
JOP40F,android-4.2.1_r1.1
JOP40D,android-4.2.1_r1
JOP40C,android-4.2_r1
JZO54M,android-4.1.2_r2.1
JZO54L,android-4.1.2_r2
JZO54K,android-4.1.2_r1
JRO03S,android-4.1.1_r6.1
JRO03R,android-4.1.1_r6
JRO03O,android-4.1.1_r5
JRO03L,android-4.1.1_r4
JRO03H,android-4.1.1_r3
JRO03E,android-4.1.1_r2
JRO03D,android-4.1.1_r1.1
JRO03C,android-4.1.1_r1
IMM76L,android-4.0.4_r2.1
IMM76K,android-4.0.4_r2
IMM76I,android-4.0.4_r1.2
IMM76D,android-4.0.4_r1.1
IMM76,android-4.0.4_r1
IML77,android-4.0.3_r1.1
IML74K,android-4.0.3_r1
ICL53F,android-4.0.2_r1
ITL41F,android-4.0.1_r1.2
ITL41D,android-4.0.1_r1.1
ITL41D,android-4.0.1_r1
GWK74,android-2.3.7_r1
GRK39F,android-2.3.6_r1
GRK39C,android-2.3.6_r0.9
GRJ90,android-2.3.5_r1
GRJ22,android-2.3.4_r1
GRJ06D,android-2.3.4_r0.9
GRI54,android-2.3.3_r1.1
GRI40,android-2.3.3_r1
GRH78C,android-2.3.2_r1
GRH78,android-2.3.1_r1
GRH55,android-2.3_r1
FRK76C,android-2.2.3_r2
FRK76,android-2.2.3_r1
FRG83G,android-2.2.2_r1
FRG83D,android-2.2.1_r2
FRG83,android-2.2.1_r1
FRG22D,android-2.2_r1.3
FRG01B,android-2.2_r1.2
FRF91,android-2.2_r1.1
FRF85B,android-2.2_r1
EPF21B,android-2.1_r2.1p2
ESE81,android-2.1_r2.1s
EPE54B,android-2.1_r2.1p
ERE27,android-2.1_r2
ERD79,android-2.1_r1
ESD56,android-2.0.1_r1
ESD20,android-2.0_r1
DMD64,android-1.6_r1.5
DRD20,android-1.6_r1.4
DRD08,android-1.6_r1.3
DRC92,android-1.6_r1.2
